District_code,District_name,Week,Learning_Modality,Operational_Schools,Student_Count,City,State,ZIP_Code
0100005,Albertville City,2022 Dec 25 12:00:00 AM,In Person,6,"5,824",Albertville,AL,35950
0100006,Marshall County,2022 Dec 25 12:00:00 AM,In Person,15,"5,764",Guntersville,AL,35976
0100007,Hoover City,2022 Dec 25 12:00:00 AM,In Person,18,"14,061",Hoover,AL,35243
0100008,Madison City,2022 Dec 25 12:00:00 AM,In Person,11,"11,695",Madison,AL,35758
0100011,Leeds City,2022 Dec 25 12:00:00 AM,In Person,4,"2,076",Leeds,AL,35094
0100012,Boaz City,2022 Dec 25 12:00:00 AM,In Person,5,"2,440",Boaz,AL,35957
0100030,Alexander City,2022 Dec 25 12:00:00 AM,In Person,5,"3,036",Alexander City,AL,35010
0100060,Andalusia City,2022 Dec 25 12:00:00 AM,In Person,3,"1,839",Andalusia,AL,36421
0100100,Arab City,2022 Dec 25 12:00:00 AM,In Person,4,"2,696",Arab,AL,35016
0100120,Athens City,2022 Dec 25 12:00:00 AM,In Person,8,"4,505",Athens,AL,35611
0100180,Attalla City,2022 Dec 25 12:00:00 AM,In Person,3,"1,490",Attalla,AL,35954
0100185,Saraland City,2022 Dec 25 12:00:00 AM,In Person,4,"3,233",Saraland,AL,36571
0100188,Chickasaw City,2022 Dec 25 12:00:00 AM,In Person,3,"1,514",Chickasaw,AL,36611
0100190,Alabaster City,2022 Dec 25 12:00:00 AM,In Person,5,"6,293",Alabaster,AL,35007
0100194,Pelham City,2022 Dec 25 12:00:00 AM,In Person,4,"3,383",Pelham,AL,35124
0100197,Acceleration Day and Evening Academy,2022 Dec 25 12:00:00 AM,In Person,1,318,Mobile,AL,36606
0100199,University Charter School,2022 Dec 25 12:00:00 AM,In Person,1,431,Livingston,AL,35470
0100210,Auburn City,2022 Dec 25 12:00:00 AM,In Person,13,"8,930",Auburn,AL,36830
0100240,Autauga County,2022 Dec 25 12:00:00 AM,In Person,15,"9,120",Prattville,AL,36067
0100270,Baldwin County,2022 Dec 25 12:00:00 AM,In Person,46,"30,602",Bay Minette,AL,36507
0103420,Tuscumbia City,2022 Dec 25 12:00:00 AM,In Person,6,"1,477",Tuscumbia,AL,35674
0103430,Vestavia Hills City,2022 Dec 25 12:00:00 AM,In Person,9,"7,137",Vestavia Hills,AL,35216
0103510,Wilcox County,2022 Dec 25 12:00:00 AM,In Person,6,"1,490",Camden,AL,36726
