District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,Start_date
Albertville City,In Person,6,5824,Albertville,AL,2022-12-25
Marshall County,In Person,15,5764,Guntersville,AL,2022-12-25
Hoover City,In Person,18,14061,Hoover,AL,2022-12-25
Madison City,In Person,11,11695,Madison,AL,2022-12-25
Leeds City,In Person,4,2076,Leeds,AL,2022-12-25
Boaz City,In Person,5,2440,Boaz,AL,2022-12-25
Alexander City,In Person,5,3036,Alexander City,AL,2022-12-25
Andalusia City,In Person,3,1839,Andalusia,AL,2022-12-25
Arab City,In Person,4,2696,Arab,AL,2022-12-25
Athens City,In Person,8,4505,Athens,AL,2022-12-25
Attalla City,In Person,3,1490,Attalla,AL,2022-12-25
Saraland City,In Person,4,3233,Saraland,AL,2022-12-25
Chickasaw City,In Person,3,1514,Chickasaw,AL,2022-12-25
Alabaster City,In Person,5,6293,Alabaster,AL,2022-12-25
Pelham City,In Person,4,3383,Pelham,AL,2022-12-25
Acceleration Day and Evening Academy,In Person,1,318,Mobile,AL,2022-12-25
University Charter School,In Person,1,431,Livingston,AL,2022-12-25
Auburn City,In Person,13,8930,Auburn,AL,2022-12-25
Autauga County,In Person,15,9120,Prattville,AL,2022-12-25
Baldwin County,In Person,46,30602,Bay Minette,AL,2022-12-25
Tuscumbia City,In Person,6,1477,Tuscumbia,AL,2022-12-25
Vestavia Hills City,In Person,9,7137,Vestavia Hills,AL,2022-12-25
Wilcox County,In Person,6,1490,Camden,AL,2022-12-25
Winfield City,In Person,3,1272,Winfield,AL,2022-12-25
Winston County,In Person,10,2292,Double Springs,AL,2022-12-25
Lower Kuskokwim School District,In Person,29,4245,Bethel,AK,2022-12-25
Lower Yukon School District,In Person,11,2027,Mountain Village,AK,2022-12-25
Aleutians East Borough School District,In Person,4,234,Sand Point,AK,2022-12-25
Aleutian Region School District,In Person,2,29,Anchorage,AK,2022-12-25
Bering Strait School District,In Person,15,1900,Unalakleet,AK,2022-12-25
Alaska Gateway School District,In Person,8,409,Tok,AK,2022-12-25
Cordova City School District,In Person,3,336,Cordova,AK,2022-12-25
Copper River School District,In Person,5,446,Glennallen,AK,2022-12-25
Delta/Greely School District,In Person,5,791,Delta Junction,AK,2022-12-25
Galena City School District,In Person,4,5326,Galena,AK,2022-12-25
Ketchikan Gateway Borough School District,In Person,9,2291,Ketchikan,AK,2022-12-25
Anchorage School District,In Person,97,46143,Anchorage,AK,2022-12-25
Juneau Borough School District,In Person,15,4725,Juneau,AK,2022-12-25
Sitka School District,In Person,6,1203,Sitka,AK,2022-12-25
Haines Borough School District,In Person,3,276,Haines,AK,2022-12-25
Mountain Rose Academy Inc. (10879),In Person,1,268,TUCSON,AZ,2022-12-25
Great Expectations Academy (10974),In Person,1,296,SAHUARITA,AZ,2022-12-25
Mary Ellen Halvorson Educational Foundation. dba: (10965),In Person,1,279,PRESCOTT,AZ,2022-12-25
Benson Unified School District (79226),In Person,5,1336,BENSON,AZ,2022-12-25
Painted Desert Demonstration Projects Inc. (79086),In Person,1,100,FLAGSTAFF,AZ,2022-12-25
American Basic Schools LLC (79215),In Person,1,826,MESA,AZ,2022-12-25
Horizon Community Learning Center Inc. (79264),In Person,1,724,PHOENIX,AZ,2022-12-25
Milestones Charter School (79207),In Person,1,205,PHOENIX,AZ,2022-12-25
James Madison Preparatory School (79063),In Person,1,181,TEMPE,AZ,2022-12-25
